scientific_name,city,long,lat,count
Acer platanoides,Aurora,-105.0,40.0,4745
Acer platanoides,Baltimore,-77.0,39.0,3717
Acer platanoides,Buffalo,-79.0,43.0,13265
Acer platanoides,Colorado Springs,-105.0,39.0,495
Acer platanoides,Columbus,-83.0,40.0,4549
Acer platanoides,Coon Rapids,-95.0,42.0,88
Acer platanoides,Dallas Center,-94.0,42.0,83
Acer platanoides,Denver,-105.0,40.0,7945
Acer platanoides,Glendale,-88.0,43.0,175
Acer platanoides,Madison,-90.0,43.0,20918
Acer platanoides,Milwaukee,-88.0,43.0,912
Acer platanoides,Minneapolis,-96.0,41.0,20191
Acer platanoides,New Berlin,-88.0,43.0,478
Acer platanoides,New York,-74.0,40.0,40112
Acer platanoides,Overland Park,-95.0,39.0,563
Acer platanoides,Pittsburgh,-80.0,40.0,3715
Acer platanoides,Portland,-122.0,46.0,19209
Acer platanoides,Providence,-72.0,42.0,2849
Acer platanoides,Sacramento,-121.0,39.0,79
Acer platanoides,San Jose,-122.0,37.0,2868
Acer platanoides,Seattle,-122.0,48.0,6304
Acer platanoides,Sioux Falls,-97.0,44.0,5701
Acer platanoides,St. Louis,-90.0,39.0,1127
Acer platanoides,Stockton,-116.0,38.0,123
Acer platanoides,Stuart,-94.0,42.0,50
Acer platanoides,Washington DC,-77.0,39.0,3403
Acer platanoides,Watertown,-89.0,43.0,976
Acer platanoides,Wauwatosa,-88.0,43.0,171
Acer platanoides,Woodward,-94.0,42.0,81
Acer rubrum,Arlington,-97.0,33.0,50
Acer rubrum,Atlanta,-84.0,34.0,1263
Acer rubrum,Aurora,-105.0,40.0,133
Acer rubrum,Baltimore,-77.0,39.0,12910
Acer rubrum,Buffalo,-79.0,43.0,2601
Acer rubrum,Cape Coral,-82.0,27.0,138
Acer rubrum,Columbus,-83.0,40.0,8657
Acer rubrum,Denver,-105.0,40.0,3084
Acer rubrum,Detroit,-83.0,42.0,1183
Acer rubrum,Durham,-79.0,36.0,718
Acer rubrum,Houston,-90.0,33.0,963
Acer rubrum,Knoxville,-84.0,36.0,683
Acer rubrum,Louisville,-86.0,38.0,1538
Acer rubrum,Madison,-90.0,43.0,261
Acer rubrum,Minneapolis,-96.0,41.0,4196
Acer rubrum,Nashville,-87.0,36.0,51
Acer rubrum,New York,-74.0,40.0,17246
Acer rubrum,Newton,-93.0,42.0,55
Acer rubrum,Oakland,-122.0,38.0,76
Acer rubrum,Overland Park,-99.0,39.0,13289
Acer rubrum,Pittsburgh,-80.0,40.0,3422
Acer rubrum,Portland,-122.0,46.0,15475
Acer rubrum,Providence,-71.0,42.0,1306
Acer rubrum,Rochester,-76.0,42.0,1995
Acer rubrum,Sacramento,-122.0,38.0,1920
Acer rubrum,San Francisco,-122.0,38.0,968
Acer rubrum,San Jose,-122.0,37.0,1282
Acer rubrum,Seattle,-122.0,48.0,7543
Acer rubrum,Sioux Falls,-97.0,44.0,989
Acer rubrum,St. Louis,-90.0,39.0,8575
Acer rubrum,Stockton,-114.0,38.0,1812
Acer rubrum,Tampa,-82.0,28.0,309
Acer rubrum,Washington DC,-77.0,39.0,12711
Fraxinus pennsylvanica,Adair,-95.0,42.0,53
Fraxinus pennsylvanica,Adel,-94.0,42.0,97
Fraxinus pennsylvanica,Arlington,-97.0,33.0,128
Fraxinus pennsylvanica,Atlanta,-84.0,34.0,117
Fraxinus pennsylvanica,Aurora,-105.0,40.0,5465
Fraxinus pennsylvanica,Baltimore,-77.0,39.0,1111
Fraxinus pennsylvanica,Brown Deer,-88.0,43.0,122
Fraxinus pennsylvanica,Buffalo,-79.0,43.0,718
Fraxinus pennsylvanica,Colorado Springs,-105.0,39.0,1844
Fraxinus pennsylvanica,Columbus,-83.0,40.0,9402
Fraxinus pennsylvanica,Coon Rapids,-95.0,42.0,159
Fraxinus pennsylvanica,Dallas Center,-94.0,42.0,148
Fraxinus pennsylvanica,Denver,-105.0,40.0,25736
Fraxinus pennsylvanica,Durham,-79.0,36.0,66
Fraxinus pennsylvanica,Earlham,-94.0,41.0,54
Fraxinus pennsylvanica,Glendale,-88.0,43.0,442
Fraxinus pennsylvanica,Houston,-95.0,31.0,1154
Fraxinus pennsylvanica,Louisville,-86.0,38.0,1404
Fraxinus pennsylvanica,Madison,-90.0,43.0,17377
Fraxinus pennsylvanica,Milwaukee,-88.0,43.0,1356
Fraxinus pennsylvanica,Minneapolis,-96.0,41.0,28206
Fraxinus pennsylvanica,New Berlin,-88.0,43.0,639
Fraxinus pennsylvanica,New York,-74.0,40.0,16251
Fraxinus pennsylvanica,Newton,-93.0,42.0,205
Fraxinus pennsylvanica,Oklahoma City,-98.0,36.0,97
Fraxinus pennsylvanica,Overland Park,-95.0,39.0,1929
Fraxinus pennsylvanica,Pittsburgh,-80.0,40.0,248
Fraxinus pennsylvanica,Providence,-71.0,42.0,1651
Fraxinus pennsylvanica,Rochester,-76.0,42.0,2495
Fraxinus pennsylvanica,Seattle,-122.0,48.0,1835
Fraxinus pennsylvanica,Sioux Falls,-97.0,44.0,21430
Fraxinus pennsylvanica,St. Louis,-90.0,39.0,7761
Fraxinus pennsylvanica,Stuart,-94.0,42.0,94
Fraxinus pennsylvanica,Washington DC,-77.0,39.0,55
Fraxinus pennsylvanica,Watertown,-89.0,43.0,259
Fraxinus pennsylvanica,Waukee,-94.0,42.0,218
Fraxinus pennsylvanica,Wauwatosa,-88.0,43.0,265
Fraxinus pennsylvanica,West Allis,-88.0,43.0,144
Gleditsia triacanthos,Albuquerque,-107.0,35.0,159
Gleditsia triacanthos,Anaheim,-118.0,34.0,249
Gleditsia triacanthos,Aurora,-105.0,40.0,10428
Gleditsia triacanthos,Baltimore,-77.0,39.0,3289
Gleditsia triacanthos,Buffalo,-79.0,43.0,2347
Gleditsia triacanthos,Colorado Springs,-105.0,39.0,559
Gleditsia triacanthos,Columbus,-83.0,40.0,7090
Gleditsia triacanthos,Cudahy,-88.0,43.0,63
Gleditsia triacanthos,Denver,-105.0,40.0,24176
Gleditsia triacanthos,Houston,-89.0,33.0,69
Gleditsia triacanthos,Knoxville,-84.0,36.0,53
Gleditsia triacanthos,Las Vegas,-115.0,36.0,204
Gleditsia triacanthos,Los Angeles,-118.0,34.0,265
Gleditsia triacanthos,Louisville,-86.0,38.0,179
Gleditsia triacanthos,Madison,-90.0,43.0,3390
Gleditsia triacanthos,Milwaukee,-88.0,43.0,1411
Gleditsia triacanthos,Minneapolis,-96.0,41.0,12676
Gleditsia triacanthos,New Berlin,-88.0,43.0,285
Gleditsia triacanthos,New York,-74.0,40.0,64264
Gleditsia triacanthos,Newton,-93.0,42.0,85
Gleditsia triacanthos,Oakland,-114.0,40.0,224
Gleditsia triacanthos,Oklahoma City,-98.0,36.0,118
Gleditsia triacanthos,Ontario,-118.0,34.0,107
Gleditsia triacanthos,Overland Park,-95.0,39.0,964
Gleditsia triacanthos,Pittsburgh,-80.0,40.0,2120
