source,target,value
Portland,Prunus,25635
Portland,Acer,19209
Portland,Acer,15475
Portland,Pyrus,11700
Portland,Acer,10635
Portland,Malus,6779
Portland,Lagerstroemia,852
Portland,Pistacia,258
Oregon,Portland,90543
Anaheim,Magnolia,5266
Anaheim,Washingtonia,4379
Anaheim,Lagerstroemia,3771
Anaheim,Cinnamomum,2567
Anaheim,Pinus,2317
Anaheim,Lophostemon,1609
Anaheim,Liquidambar,1491
Anaheim,Platanus,1264
Anaheim,Pistacia,1123
Anaheim,Ulmus,852
Anaheim,Celtis,335
Anaheim,Tristaniopsis,322
Anaheim,Pyrus,320
Anaheim,Metrosideros,179
Anaheim,Prunus,110
Anaheim,Acer,15
Anaheim,Acer,3
Anaheim,Pyrus,1
California,Anaheim,25924
SanJose,Platanus,26291
SanJose,Pistacia,24316
SanJose,Lagerstroemia,21636
SanJose,Liquidambar,14644
SanJose,Pyrus,9631
SanJose,Magnolia,7080
SanJose,Prunus,6999
SanJose,Washingtonia,5116
SanJose,Cinnamomum,4835
SanJose,Acer,2868
SanJose,Ulmus,2607
SanJose,Celtis,2356
SanJose,Pinus,1582
SanJose,Tristaniopsis,1479
SanJose,Acer,1282
SanJose,Prunus,775
SanJose,Malus,542
SanJose,Acer,388
SanJose,Pyrus,363
SanJose,Lophostemon,289
SanJose,Metrosideros,1
California,SanJose,135080
SanFrancisco,Platanus,11925
SanFrancisco,Metrosideros,8681
SanFrancisco,Tristaniopsis,8509
SanFrancisco,Lophostemon,8236
SanFrancisco,Magnolia,7793
SanFrancisco,Prunus,7113
SanFrancisco,Pyrus,4036
SanFrancisco,Ulmus,2485
SanFrancisco,Liquidambar,1592
SanFrancisco,Acer,987
SanFrancisco,Washingtonia,967
SanFrancisco,Pistacia,412
SanFrancisco,Pinus,350
SanFrancisco,Celtis,222
SanFrancisco,Prunus,207
SanFrancisco,Cinnamomum,141
SanFrancisco,Malus,133
SanFrancisco,Lagerstroemia,102
SanFrancisco,Pyrus,91
SanFrancisco,Acer,26
SanFrancisco,Acer,2
California,SanFrancisco,64010
Sacramento,Platanus,14111
Sacramento,Pistacia,4580
Sacramento,Pyrus,4285
Sacramento,Lagerstroemia,4146
Sacramento,Ulmus,4047
Sacramento,Liquidambar,1933
Sacramento,Acer,1924
Sacramento,Washingtonia,1535
Sacramento,Prunus,1354
Sacramento,Magnolia,1151
Sacramento,Celtis,996
Sacramento,Cinnamomum,773
Sacramento,Acer,667
Sacramento,Prunus,530
Sacramento,Malus,422
Sacramento,Acer,79
California,Sacramento,42533
Stockton,Pistacia,11392
Stockton,Platanus,7552
Stockton,Lagerstroemia,7354
Stockton,Celtis,7179
Stockton,Pyrus,5296
Stockton,Liquidambar,4110
Stockton,Magnolia,3762
Stockton,Acer,1812
Stockton,Cinnamomum,1670
Stockton,Prunus,1521
Stockton,Washingtonia,780
Stockton,Pinus,779
Stockton,Ulmus,353
Stockton,Malus,173
Stockton,Tristaniopsis,164
Stockton,Acer,123
Stockton,Prunus,117
Stockton,Acer,113
Stockton,Metrosideros,1
California,Stockton,54251
