state_code,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Alabama,1895,11.5,8.94,19.17,24.28,27.0,31.33,32.0,32.06,31.72,23.44,18.39,13.94
Alabama,1896,11.67,15.0,17.72,27.0,31.0,31.06,33.11,34.44,31.78,24.33,20.5,14.28
Alabama,1897,11.17,16.11,21.06,23.78,27.89,34.44,33.78,31.94,31.5,27.22,19.5,14.44
Alabama,1898,15.06,14.44,21.06,21.67,31.11,33.72,32.5,31.33,29.67,22.39,16.11,12.39
Alabama,1899,12.44,10.78,19.89,22.56,31.44,33.5,33.28,33.33,30.17,25.61,19.89,13.11
Alabama,1900,12.94,13.56,18.06,24.83,29.11,29.56,32.56,34.17,31.72,25.67,19.11,14.11
Alabama,1901,14.17,12.17,18.61,21.11,28.89,32.83,35.06,32.0,28.72,24.56,17.06,12.0
Alabama,1902,13.0,10.5,19.0,23.83,31.28,34.78,35.61,34.78,29.33,24.22,20.67,13.11
Alabama,1903,11.94,15.28,20.22,23.33,27.22,29.5,33.33,33.22,30.39,25.0,16.94,11.56
Alabama,1904,11.44,15.67,21.28,22.61,29.0,32.94,32.56,32.0,32.39,26.72,18.28,13.89
Alabama,1905,9.89,9.72,22.0,24.28,29.67,33.0,32.83,32.11,31.22,23.56,20.0,11.44
Alabama,1906,14.0,14.5,16.61,26.17,27.83,32.83,32.17,33.17,31.44,22.56,20.44,15.78
Alabama,1907,18.33,15.89,25.17,21.11,26.22,31.22,33.78,33.61,30.44,24.94,17.11,13.06
Alabama,1908,12.56,12.89,23.67,26.5,28.89,32.44,33.28,33.0,30.56,24.06,21.28,16.44
Alabama,1909,16.11,17.33,19.89,24.22,27.44,31.67,33.06,33.78,30.72,26.17,23.78,11.17
Alabama,1910,14.22,13.83,24.0,24.33,27.72,30.5,31.56,32.89,32.39,26.39,17.83,11.78
Alabama,1911,16.28,18.56,21.72,23.83,30.33,34.39,31.72,32.11,33.61,26.89,17.0,15.61
Alabama,1912,10.78,12.83,17.56,24.44,29.33,29.89,32.33,32.33,30.83,25.33,18.22,13.83
Alabama,1913,16.94,14.56,19.17,23.89,29.22,32.83,33.72,34.11,28.89,23.28,21.17,14.0
Alabama,1914,14.89,14.11,16.78,24.83,29.67,35.78,34.39,32.0,29.17,23.78,18.78,10.83
Alabama,1915,11.83,14.94,14.5,26.11,30.06,32.67,33.44,32.28,31.39,25.56,21.33,14.44
Alabama,1916,17.0,15.5,19.5,23.72,30.11,31.67,30.72,32.94,30.33,25.56,20.28,14.56
Alabama,1917,15.56,16.06,20.39,25.28,26.5,32.72,32.72,31.94,29.11,23.0,17.94,10.5
Alabama,1918,9.22,18.44,23.67,22.11,29.61,33.44,32.56,33.56,28.39,25.78,18.06,15.28
Alabama,1919,13.5,14.72,20.56,24.56,26.56,31.61,32.28,32.0,31.22,29.28,20.56,14.89
Alabama,1920,13.78,13.61,17.61,23.17,27.17,31.5,32.28,30.78,31.06,25.78,17.39,12.89
Alabama,1921,16.17,16.67,24.39,23.61,27.94,34.0,33.83,33.22,34.0,24.83,21.17,17.0
Alabama,1922,13.0,17.94,19.22,25.44,27.83,32.17,32.83,32.44,32.22,25.0,20.56,17.61
Alabama,1923,17.11,14.28,19.28,23.78,26.56,30.78,31.89,31.39,30.94,24.44,17.61,17.11
Alabama,1924,11.5,14.44,16.56,23.78,26.39,32.56,33.28,34.61,28.67,26.17,20.94,14.72
Alabama,1925,14.0,17.94,21.56,27.11,28.11,34.06,34.22,34.06,36.0,24.33,17.33,13.17
Alabama,1926,12.11,16.72,15.44,23.33,28.56,31.89,32.72,32.44,32.11,25.72,16.39,16.56
Alabama,1927,15.28,20.39,19.67,26.56,29.33,31.28,33.56,32.11,32.67,27.5,21.89,13.89
Alabama,1928,13.33,15.0,19.5,21.89,27.5,30.0,33.0,33.11,29.33,26.33,18.06,14.61
Alabama,1929,15.5,13.56,21.39,25.61,27.83,31.39,33.0,33.89,29.39,23.56,17.0,13.44
Alabama,1930,13.17,18.78,17.11,26.0,29.11,32.17,36.06,33.17,30.5,23.11,17.0,11.28
Alabama,1931,12.94,16.44,15.94,23.33,27.06,34.33,33.61,31.67,33.44,27.17,22.78,17.56
Alabama,1932,16.94,20.0,17.22,25.11,27.39,32.22,34.22,32.83,29.28,23.72,15.83,14.94
Alabama,1933,16.44,14.83,19.67,23.17,30.94,33.22,31.83,32.67,33.11,25.61,19.5,19.17
Alabama,1934,14.78,13.56,18.83,24.5,28.33,32.83,33.33,32.44,30.28,25.83,20.22,12.94
Alabama,1935,14.39,15.72,22.33,23.89,28.78,31.28,33.28,33.22,30.11,26.67,18.94,9.67
