state_code,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Alabama,1895,0.78,-2.89,5.78,10.67,14.67,19.17,20.44,20.72,19.11,7.33,5.22,0.39
Alabama,1896,1.11,2.44,5.11,13.11,17.72,19.39,21.5,21.33,17.0,10.33,7.67,1.72
Alabama,1897,-0.33,5.11,10.22,10.06,13.28,20.17,21.22,20.06,16.94,11.72,5.22,2.72
Alabama,1898,3.78,1.22,9.17,8.0,15.67,20.0,20.89,20.67,18.39,9.78,3.72,0.28
Alabama,1899,0.61,-1.89,6.39,10.44,17.56,19.78,20.5,21.06,15.22,12.22,6.0,1.0
Alabama,1900,-0.06,0.22,5.17,10.89,14.67,19.67,20.61,20.5,18.89,14.56,6.11,2.06
Alabama,1901,1.39,0.17,5.06,7.89,13.94,19.17,21.0,19.89,16.11,9.33,1.5,-0.83
Alabama,1902,-0.61,-0.78,6.67,9.61,17.28,19.89,21.17,21.11,16.94,10.33,7.72,1.61
Alabama,1903,0.72,2.67,10.28,9.0,14.83,16.78,20.44,20.78,15.44,9.67,3.72,-2.61
Alabama,1904,-1.28,3.11,7.67,8.5,13.44,18.28,19.22,19.78,17.61,9.56,4.0,1.56
Alabama,1905,-2.5,-1.89,8.17,11.0,17.61,19.61,20.22,20.56,17.94,11.67,5.94,0.44
Alabama,1906,1.72,0.0,4.39,10.39,14.28,19.5,20.28,20.67,20.06,9.17,5.11,3.83
Alabama,1907,5.67,2.22,10.67,7.89,14.11,17.22,20.89,20.22,17.5,9.83,4.0,1.67
Alabama,1908,0.11,0.44,9.89,12.89,15.33,18.61,20.39,19.94,16.67,7.39,6.28,3.72
Alabama,1909,3.44,2.89,6.67,10.33,13.67,19.67,20.72,20.67,17.39,8.5,6.83,-1.33
Alabama,1910,0.56,0.56,7.72,8.67,13.33,17.89,20.44,19.94,18.0,11.83,3.11,-0.78
Alabama,1911,3.67,6.11,6.78,11.17,14.83,19.72,19.56,20.06,19.94,13.67,3.11,3.61
Alabama,1912,-1.67,-1.0,5.0,11.5,15.11,18.0,20.61,20.0,19.0,12.33,2.06,2.72
Alabama,1913,4.44,1.94,6.39,9.5,14.56,18.11,21.0,19.83,16.89,8.72,5.28,3.06
Alabama,1914,1.78,0.72,3.22,10.5,14.28,21.0,21.0,20.39,16.56,11.56,3.78,1.11
Alabama,1915,-0.22,2.56,1.39,9.72,16.94,19.06,20.33,20.0,17.94,12.61,5.67,1.17
Alabama,1916,5.0,0.94,4.78,9.39,15.44,18.44,21.06,20.17,16.0,10.17,4.17,1.89
Alabama,1917,4.11,2.17,6.78,9.78,11.28,18.11,20.39,19.61,16.61,6.39,2.72,-1.83
Alabama,1918,-3.28,5.11,9.44,9.94,15.5,19.44,18.83,20.06,14.28,14.89,4.89,4.44
Alabama,1919,-0.17,2.44,6.22,9.06,14.56,19.72,20.67,20.39,16.67,17.44,7.28,1.78
Alabama,1920,2.78,2.11,4.72,10.39,15.56,18.44,20.33,19.89,18.72,9.5,3.22,1.22
Alabama,1921,3.06,3.61,10.56,9.5,14.17,19.83,21.06,20.5,20.33,8.94,7.28,3.61
Alabama,1922,3.0,6.28,6.83,12.67,16.17,19.44,20.33,19.5,17.78,11.17,6.72,6.06
Alabama,1923,3.89,2.11,5.39,10.5,14.67,18.83,19.78,20.44,17.72,9.94,3.61,6.72
Alabama,1924,-1.94,1.61,3.89,10.22,12.78,20.17,19.72,20.39,16.22,9.39,4.72,2.39
Alabama,1925,2.83,4.56,6.39,12.11,13.5,19.94,20.83,19.67,20.78,12.11,4.67,0.11
Alabama,1926,0.94,3.33,3.39,8.22,13.67,18.5,19.56,21.22,20.06,12.11,2.89,3.83
Alabama,1927,2.33,8.17,6.94,12.94,15.72,19.89,20.39,19.06,17.44,10.89,8.44,1.5
Alabama,1928,-0.06,2.0,6.33,8.33,13.72,18.72,20.89,20.89,16.11,12.78,4.5,0.61
Alabama,1929,2.39,1.28,8.28,12.56,15.67,18.56,20.06,19.33,17.72,10.17,7.28,0.06
Alabama,1930,1.06,4.61,4.67,10.22,15.67,17.5,21.0,19.17,18.83,9.67,6.28,0.56
Alabama,1931,0.06,2.39,3.06,8.72,12.83,18.11,21.06,18.83,18.67,12.28,8.0,7.22
Alabama,1932,5.11,7.72,3.56,10.33,14.11,19.39,21.72,20.78,17.72,9.61,3.0,4.06
Alabama,1933,5.11,3.06,5.78,10.11,17.5,17.94,20.44,20.22,18.94,11.33,4.56,6.28
Alabama,1934,3.33,-0.44,4.56,10.44,15.22,19.89,21.33,21.0,16.39,11.72,6.22,1.28
Alabama,1935,2.0,2.61,9.22,11.33,15.61,17.89,20.72,21.0,16.61,11.17,6.33,-1.78
Alabama,1936,0.0,0.72,7.33,9.28,15.39,18.94,21.0,20.44,18.94,12.06,4.11,3.83
Alabama,1937,9.39,2.61,4.17,9.56,15.5,19.94,19.67,20.67,16.33,10.33,3.78,1.61
Alabama,1938,2.0,5.56,10.06,10.5,15.67,18.33,20.72,20.5,16.17,9.94,5.0,1.06
Alabama,1939,2.89,4.5,7.33,9.33,14.78,20.0,20.44,19.56,18.11,11.06,3.17,2.0
Alabama,1940,-6.0,1.33,5.33,9.83,12.39,18.5,20.0,20.28,14.83,9.78,5.06,4.44
Alabama,1941,1.39,0.0,3.0,11.22,14.78,19.17,21.06,20.72,18.61,14.83,4.11,3.11
Alabama,1942,-1.39,0.44,5.56,9.33,14.17,19.17,20.67,19.5,15.89,10.67,5.83,2.39
Alabama,1943,2.33,2.22,5.0,9.78,16.06,20.44,21.11,20.56,15.72,8.5,2.06,1.39
Alabama,1944,1.17,6.5,6.67,9.94,15.06,19.5,19.33,20.28,18.22,8.94,5.22,0.67
Alabama,1945,0.89,4.67,10.72,11.56,13.28,18.89,20.33,19.94,18.67,9.78,6.17,-1.0
Alabama,1946,2.56,2.61,8.89,11.56,14.89,18.06,20.61,19.0,16.78,10.11,9.28,3.0
Alabama,1947,4.5,-2.39,2.56,11.94,14.11,18.61,18.17,20.67,18.0,14.0,5.44,1.72
Alabama,1948,-2.67,4.44,8.39,12.39,14.44,18.94,20.72,19.5,16.22,8.06,6.83,3.89
Alabama,1949,5.72,5.56,5.33,10.06,15.11,19.28,21.28,20.06,16.22,14.83,2.89,2.78
Alabama,1950,9.67,4.83,4.56,7.94,16.83,18.94,19.44,18.44,16.67,12.06,1.33,-0.67
Alabama,1951,1.56,2.67,7.17,9.11,13.22,19.17,20.61,20.72,17.94,11.67,2.22,3.39
Alabama,1952,5.44,4.61,4.89,8.67,14.78,20.56,20.44,20.17,15.67,5.94,3.39,1.44
Alabama,1953,2.94,3.11,7.89,8.56,16.94,20.17,20.56,19.22,15.56,10.28,3.17,1.17
Alabama,1954,1.72,3.39,5.5,12.56,12.22,18.5,21.11,20.78,17.39,10.39,3.22,0.33
Alabama,1955,0.67,3.22,7.56,11.78,15.89,16.0,20.61,20.44,18.0,8.44,3.56,1.78
Alabama,1956,-0.61,5.94,5.33,9.17,16.06,17.83,19.94,19.5,14.72,11.67,3.06,5.72
Alabama,1957,3.39,7.72,5.39,11.56,15.78,19.89,20.22,19.22,17.89,9.33,7.0,2.0
Alabama,1958,-1.56,-3.0,4.78,10.5,14.72,19.22,20.44,19.61,17.61,9.67,6.06,-0.39
Alabama,1959,-0.94,4.0,4.17,9.89,15.83,18.83,20.28,20.11,17.94,13.89,3.39,2.11
Alabama,1960,1.83,0.56,1.28,10.28,12.61,18.39,20.44,20.33,17.78,11.44,4.28,-1.11
Alabama,1961,-2.28,4.72,7.56,7.56,12.89,17.22,19.28,19.28,17.11,8.22,6.56,2.78
Alabama,1962,0.11,5.83,4.17,8.61,16.0,18.56,20.33,19.94,16.94,11.22,4.06,-0.33
Alabama,1963,-2.44,-1.83,7.06,12.0,15.11,18.78,19.56,19.67,15.94,9.89,4.56,-3.17
Alabama,1964,-0.44,-0.17,5.22,11.83,14.56,19.0,20.0,19.72,16.89,8.22,6.44,3.22
Alabama,1965,1.22,1.33,4.78,11.94,14.67,18.22,20.06,19.67,18.11,9.61,7.06,1.11
Alabama,1966,-0.78,2.11,4.78,10.33,14.5,16.56,20.61,19.39,16.67,9.28,5.39,1.78
Alabama,1967,1.11,0.5,7.11,12.56,13.5,18.28,18.72,18.44,14.17,7.67,2.67,4.61
Alabama,1968,-0.28,-2.22,3.33,10.61,13.78,17.89,19.72,19.72,15.22,10.0,3.78,-0.72
Alabama,1969,0.56,1.56,1.83,10.61,14.22,18.33,21.06,18.61,15.83,11.5,2.17,-0.06
Alabama,1970,-2.44,-0.72,5.11,11.83,14.0,17.94,19.44,20.61,18.67,11.67,2.5,3.0
Alabama,1971,1.17,0.67,3.0,7.83,12.0,18.72,19.94,19.67,18.39,13.28,3.94,7.5
Alabama,1972,3.17,2.22,5.61,10.06,13.83,17.0,18.94,19.61,18.28,10.67,5.0,3.89
Alabama,1973,0.44,0.22,9.61,9.44,12.83,18.83,20.78,19.11,18.78,12.06,7.33,1.11
Alabama,1974,7.72,1.67,8.56,9.11,15.72,16.56,19.61,19.5,16.11,7.33,4.06,2.22
Alabama,1975,3.28,4.17,5.22,9.0,16.28,18.28,20.0,20.28,15.61,11.56,5.72,1.06
Alabama,1976,-2.06,3.78,8.11,8.89,12.28,17.33,19.5,18.44,16.11,7.39,0.78,-1.17
Alabama,1977,-5.0,-0.44,7.61,10.72,14.83,18.72,20.94,20.44,18.61,8.67,7.72,0.83
Alabama,1978,-2.89,-2.61,3.78,9.83,14.67,19.22,20.78,20.22,18.44,8.22,7.83,1.11
Alabama,1979,-2.33,1.0,5.89,11.22,14.56,17.56,20.83,19.61,17.39,8.94,4.33,0.94
Alabama,1980,3.11,-0.67,5.0,8.61,15.11,18.56,21.39,20.61,18.83,8.33,4.39,0.0
Alabama,1981,-2.89,1.67,3.61,12.06,12.5,20.39,21.0,19.78,14.44,9.72,4.83,0.44
Alabama,1982,-0.33,2.89,8.33,9.44,14.78,18.11,20.56,20.22,15.67,10.83,6.33,6.0
Alabama,1983,0.11,2.67,4.89,7.33,13.72,18.0,20.61,20.67,15.67,11.06,4.67,-0.22
Alabama,1984,-1.67,1.94,4.83,9.61,13.44,17.78,19.72,19.56,15.17,14.44,3.89,6.39
Alabama,1985,-3.39,1.56,8.0,10.33,14.94,18.89,20.11,20.06,16.11,14.33,10.78,-1.61
Alabama,1986,-1.11,4.22,5.17,8.33,15.28,19.89,21.28,19.44,18.78,11.72,9.83,2.94
Alabama,1987,0.28,3.61,6.44,7.72,16.89,18.89,20.33,21.11,16.28,5.22,5.83,4.06
Alabama,1988,-0.67,0.33,5.11,9.83,12.06,17.22,20.44,20.83,18.5,8.22,7.0,1.33
Alabama,1989,3.89,3.39,7.78,8.83,13.94,19.17,20.83,19.78,17.22,9.56,5.17,-2.44
Alabama,1990,3.67,6.44,7.72,8.78,14.33,18.61,20.22,19.94,16.94,10.17,5.33,4.33
Alabama,1991,3.11,4.06,7.0,12.89,17.94,19.33,21.28,20.22,16.94,10.61,3.17,3.78
Alabama,1992,1.06,4.06,5.56,9.17,12.78,17.94,21.0,18.89,17.67,9.67,5.33,3.5
Alabama,1993,4.22,1.5,4.67,7.72,14.06,18.94,21.39,20.72,16.78,10.44,4.0,1.61
Alabama,1994,-0.67,3.5,5.72,10.72,13.44,20.11,20.28,19.33,16.11,12.33,8.0,4.44
Alabama,1995,1.61,2.22,8.28,9.89,15.83,17.61,20.83,22.0,16.67,10.78,3.06,1.17
Alabama,1996,-0.17,1.89,3.89,7.94,15.83,18.89,20.56,19.83,16.28,10.5,5.28,3.17
Alabama,1997,2.11,4.89,9.11,7.83,12.83,18.33,21.11,19.44,16.89,10.28,4.0,1.5
Alabama,1998,3.22,3.72,5.61,9.83,16.0,20.56,22.06,20.39,19.17,12.0,7.89,5.56
Alabama,1999,3.0,4.39,4.17,12.72,13.67,19.5,21.39,20.83,15.44,10.28,5.67,1.44
Alabama,2000,2.17,3.56,7.56,8.22,16.44,18.72,20.5,20.11,17.0,9.78,5.56,-1.89
Alabama,2001,-1.17,5.0,5.06,11.33,14.33,18.67,20.78,20.44,16.22,8.22,6.72,3.94
Alabama,2002,1.83,0.72,5.33,12.67,14.56,18.83,21.0,20.33,19.83,15.39,4.39,1.17
Alabama,2003,-2.0,2.89,8.28,10.44,16.44,18.72,20.67,21.06,16.44,10.61,7.56,-0.22
Alabama,2004,0.33,2.22,7.44,8.39,16.28,19.94,20.44,18.67,17.72,14.72,8.89,0.78
Alabama,2005,3.39,4.89,5.39,8.78,12.94,19.39,21.78,21.67,18.44,10.61,5.94,-0.39
Alabama,2006,4.0,1.56,6.11,12.06,14.72,18.17,21.0,21.67,15.94,9.33,4.33,2.72
