month,state,1978,1983,1988,1993,1998,2003,2008,2013,2018,2023
Apr,Alabama,25.56,21.33,24.33,22.0,23.0,24.33,23.89,23.5,22.67,24.17
Apr,Alaska,1.78,1.5,0.56,3.94,3.44,2.78,-0.33,-3.06,1.61,-3.28
Apr,Arizona,21.33,18.22,22.0,23.5,19.44,21.44,23.5,23.78,26.06,23.78
Apr,Arkansas,24.06,18.17,23.0,19.22,22.11,23.56,21.22,21.28,19.67,22.11
Apr,California,16.61,15.67,19.72,19.61,17.28,15.94,20.22,22.06,21.11,20.17
Apr,Colorado,14.67,9.28,14.72,12.83,12.39,15.17,13.22,11.94,14.72,13.5
Apr,Connecticut,13.22,13.61,12.89,14.39,15.5,12.83,16.67,14.78,12.06,17.0
Apr,Delaware,17.33,16.17,15.67,17.0,19.11,16.78,18.78,18.67,16.89,21.0
Apr,Florida,28.17,25.5,27.67,25.72,27.17,27.17,27.28,28.06,27.83,29.0
Apr,Georgia,25.83,21.78,24.72,22.67,23.33,23.67,23.78,24.0,23.22,24.94
Apr,Idaho,10.39,9.33,13.89,9.72,11.67,10.89,9.39,11.11,12.11,10.39
Apr,Illinois,17.61,13.11,18.33,15.11,17.06,18.5,16.67,16.11,13.44,19.22
Apr,Indiana,17.22,13.39,17.33,15.11,17.28,18.39,17.67,16.67,13.5,18.67
Apr,Iowa,14.61,10.83,16.78,12.83,15.44,16.83,13.39,12.5,10.33,16.83
Apr,Kansas,20.22,14.11,19.11,16.22,17.89,20.67,17.39,16.17,16.78,21.28
Apr,Kentucky,20.67,15.78,20.22,18.33,18.78,21.0,19.72,19.78,17.11,21.11
Apr,Louisiana,26.06,22.22,25.78,22.5,24.33,25.67,25.39,24.11,23.67,24.44
Apr,Maine,7.44,9.5,9.17,10.11,11.22,8.22,11.72,10.0,8.0,11.22
Apr,Maryland,17.44,15.44,16.44,17.22,19.28,17.56,19.11,18.78,16.33,21.39
Apr,Massachusetts,11.94,12.83,12.0,13.33,14.72,11.67,15.67,14.22,11.22,16.11
Apr,Michigan,10.33,9.39,12.56,10.17,14.28,11.78,14.06,9.44,7.44,13.11
Apr,Minnesota,10.56,9.78,13.78,10.78,15.11,13.11,10.11,6.17,6.56,9.0
Apr,Mississippi,25.56,20.83,24.83,21.5,23.22,24.83,24.0,23.28,22.11,23.94
Apr,Missouri,19.67,14.28,20.33,16.33,18.33,20.22,17.28,17.44,15.67,20.89
Apr,Montana,10.83,10.89,14.67,11.72,13.44,13.39,10.61,9.28,10.0,10.61
Apr,Nebraska,15.5,11.22,17.56,13.67,15.56,17.28,14.28,12.94,12.39,17.44
Apr,Nevada,13.22,11.11,16.5,15.44,13.44,13.28,15.56,16.94,17.78,16.06
Apr,New Hampshire,9.06,10.83,10.61,12.5,13.5,10.06,14.0,12.28,8.89,13.33
Apr,New Jersey,15.56,15.0,14.72,16.17,17.67,14.83,17.94,17.11,14.89,19.5
Apr,New Mexico,21.5,15.83,19.67,20.39,17.94,21.06,20.78,20.83,22.44,20.78
Apr,New York,10.39,10.44,11.56,12.5,14.28,11.11,16.28,12.44,8.5,15.61
Apr,North Carolina,21.89,18.28,21.11,20.11,21.17,20.56,21.0,21.28,20.5,22.5
Apr,North Dakota,10.44,9.89,15.78,11.94,15.61,14.28,12.11,5.11,7.17,7.06
Apr,Ohio,16.0,13.61,16.0,15.22,17.11,17.78,18.22,17.0,13.22,18.33
Apr,Oklahoma,24.06,18.17,21.72,19.89,21.0,23.67,21.72,19.5,20.28,22.44
Apr,Oregon,11.0,11.28,14.11,11.39,12.89,10.78,11.22,13.5,13.44,12.11
Apr,Pennsylvania,14.06,12.44,14.0,14.94,16.39,15.33,17.67,15.83,12.11,18.28
Apr,Rhode Island,12.61,13.11,12.0,13.44,14.61,12.0,15.72,14.56,12.17,16.11
Apr,South Carolina,24.89,20.89,24.06,22.28,23.0,22.33,23.22,23.39,22.72,24.33
Apr,South Dakota,11.89,10.61,16.78,12.39,15.39,15.83,13.17,9.06,9.22,12.22
Apr,Tennessee,22.72,17.22,21.61,19.28,20.0,21.94,20.61,20.39,18.28,21.28
Apr,Texas,27.44,23.39,26.06,24.72,25.22,26.78,26.44,25.06,25.44,25.39
Apr,Utah,14.0,10.39,15.78,14.44,13.0,14.67,14.11,14.5,17.22,14.44
Apr,Vermont,8.17,9.5,10.44,11.56,13.22,9.44,14.28,11.17,7.22,13.56
Apr,Virginia,19.28,16.17,18.72,18.5,19.89,19.06,19.44,20.22,18.0,21.83
Apr,Washington,12.22,13.61,14.06,11.67,14.0,12.22,10.72,12.67,12.67,11.67
Apr,West Virginia,17.67,14.39,17.33,17.17,18.56,18.83,19.28,19.0,15.33,20.28
Apr,Wisconsin,11.17,9.5,13.78,10.0,15.0,12.61,11.78,8.22,7.11,12.33
Apr,Wyoming,11.28,7.22,13.72,10.06,11.22,13.11,9.83,8.5,11.83,10.0
Aug,Alabama,32.33,33.89,32.89,32.72,32.89,31.67,31.28,30.61,32.0,34.22
Aug,Alaska,16.28,12.5,13.83,13.94,12.28,14.72,13.67,15.0,13.11,15.67
Aug,Arizona,33.56,32.33,32.33,32.72,34.61,34.06,33.67,33.06,34.28,34.61
Aug,Arkansas,33.39,35.22,33.44,33.5,33.39,33.0,30.72,31.56,31.5,33.78
Aug,California,31.44,30.44,31.89,31.0,33.72,31.78,33.11,31.67,32.78,32.11
Aug,Colorado,26.56,28.17,27.5,25.22,26.94,28.5,26.33,27.28,27.22,27.89
Aug,Connecticut,26.17,27.61,28.11,27.83,28.06,27.5,26.0,26.0,28.56,26.0
Aug,Delaware,29.67,30.39,30.5,29.89,29.89,29.78,29.22,27.94,31.0,29.0
Aug,Florida,32.61,33.28,32.67,33.61,33.5,31.94,31.89,32.72,32.78,34.61
Aug,Georgia,32.06,33.89,32.67,32.94,32.61,31.22,31.39,30.44,31.78,33.61
Aug,Idaho,24.72,26.67,27.67,23.5,28.67,28.72,27.28,28.78,27.11,26.72
Aug,Illinois,28.94,32.94,32.22,29.28,29.39,30.28,28.33,28.78,29.33,28.72
