month,state,1978,1983,1988,1993,1998,2003,2008,2013,2018,2023
Apr,Alabama,25.56,21.33,24.33,22.0,23.0,24.33,23.89,23.5,22.67,24.17
Apr,Oregon,11.0,11.28,14.11,11.39,12.89,10.78,11.22,13.5,13.44,12.11
Aug,Alabama,32.33,33.89,32.89,32.72,32.89,31.67,31.28,30.61,32.0,34.22
Aug,Oregon,24.94,26.0,27.39,24.5,29.0,28.06,27.11,27.61,27.89,27.78
Dec,Alabama,15.11,11.11,15.17,13.17,16.0,13.5,15.72,14.56,14.44,
Dec,Oregon,1.83,0.83,3.89,4.67,3.06,4.44,3.39,3.94,4.06,
Feb,Alabama,10.17,13.56,14.5,14.33,15.39,14.83,16.78,14.94,20.06,19.67
Feb,Oregon,6.72,7.11,9.17,3.22,6.0,6.78,7.17,6.72,5.72,5.67
Jan,Alabama,6.89,11.17,10.33,14.44,14.28,10.83,12.17,15.5,11.0,16.89
Jan,Oregon,4.89,5.94,3.0,0.89,5.28,7.67,2.33,3.56,7.0,4.44
Jul,Alabama,33.39,33.33,31.72,34.33,33.22,31.0,33.11,30.06,32.56,33.11
Jul,Oregon,26.28,23.44,28.0,21.28,28.83,30.61,28.11,30.0,29.72,29.56
Jun,Alabama,31.83,29.22,32.89,31.72,33.5,29.72,32.56,30.94,32.11,31.0
Jun,Oregon,22.06,20.17,21.89,19.72,20.67,24.78,21.78,22.83,22.61,22.67
Mar,Alabama,17.56,17.33,19.67,17.22,18.17,20.17,20.61,16.83,19.67,21.83
Mar,Oregon,12.22,8.89,10.39,9.56,9.78,10.39,8.11,11.0,9.11,5.83
May,Alabama,27.56,26.94,28.28,26.83,30.17,27.61,27.83,26.44,30.06,27.5
May,Oregon,15.44,18.06,16.94,19.28,14.0,17.56,17.67,18.67,20.06,19.89
Nov,Alabama,22.39,18.89,20.22,17.89,20.89,21.61,18.06,17.39,15.94,
Nov,Oregon,6.22,7.33,6.72,7.06,7.0,6.0,10.61,9.28,9.44,
Oct,Alabama,25.33,24.5,22.0,23.78,26.67,24.39,23.5,24.61,25.67,25.5
Oct,Oregon,18.56,16.11,20.94,17.0,14.94,18.22,16.17,14.89,16.0,16.39
Sep,Alabama,31.44,28.78,28.72,29.94,31.22,29.22,29.33,30.06,31.78,30.72
Sep,Oregon,19.22,21.0,23.33,23.94,24.78,24.72,24.17,21.33,22.67,21.56
