month,state,1978,1983,1988,1993,1998,2003,2008,2013,2018,2023
Apr,Alabama,9.83,7.33,9.83,7.72,9.83,10.44,10.33,10.0,7.89,10.56
Apr,Oregon,0.94,-0.39,1.61,1.06,0.61,0.06,-2.0,0.44,1.0,-0.11
Aug,Alabama,20.22,20.67,20.83,20.72,20.39,21.06,20.22,20.33,20.78,21.61
Aug,Oregon,9.67,11.0,8.61,8.61,10.44,10.39,9.78,10.67,10.39,11.83
Dec,Alabama,1.11,-0.22,1.33,1.61,5.56,-0.22,3.94,3.11,4.44,
Dec,Oregon,-7.33,-5.39,-4.61,-3.22,-5.22,-2.11,-5.44,-6.5,-3.78,
Feb,Alabama,-2.61,2.67,0.33,1.5,3.72,2.89,2.28,2.89,8.83,7.44
Feb,Oregon,-0.94,-0.11,-3.06,-6.17,-1.67,-3.5,-3.0,-3.22,-4.39,-5.11
Jan,Alabama,-2.89,0.11,-0.67,4.22,3.22,-2.0,0.06,4.61,-1.67,4.83
Jan,Oregon,-1.44,-1.67,-5.22,-7.33,-1.56,0.11,-6.22,-6.11,-0.89,-4.22
Jul,Alabama,20.78,20.61,20.44,21.39,22.06,20.67,20.22,20.67,21.56,21.67
Jul,Oregon,10.22,9.06,10.17,7.17,12.0,11.72,10.0,11.56,11.33,11.39
Jun,Alabama,19.22,18.0,17.22,18.94,20.56,18.72,19.33,20.11,20.39,18.78
Jun,Oregon,6.94,6.28,7.44,6.28,6.67,7.67,5.61,7.67,6.83,7.56
Mar,Alabama,3.78,4.89,5.11,4.67,5.61,8.28,5.11,2.89,6.22,7.83
Mar,Oregon,0.44,1.11,-2.11,0.39,-1.0,0.17,-3.11,-1.11,-2.0,-4.22
May,Alabama,14.67,13.72,12.06,14.06,16.0,16.44,14.72,13.78,17.06,15.22
May,Oregon,2.61,4.0,3.11,5.72,3.83,3.78,4.06,4.11,6.0,5.94
Nov,Alabama,7.83,4.67,7.0,4.0,7.89,7.56,3.06,4.44,4.5,
Nov,Oregon,-4.61,0.94,-0.28,-5.28,0.22,-2.83,0.94,-1.06,-1.33,
Oct,Alabama,8.22,11.06,8.22,10.44,12.0,10.61,10.0,11.94,13.72,11.39
Oct,Oregon,1.5,2.72,5.11,3.61,1.5,4.11,2.44,0.89,2.67,3.61
Sep,Alabama,18.44,15.67,18.5,16.78,19.17,16.44,17.89,17.67,20.89,18.0
Sep,Oregon,6.56,5.44,5.67,6.17,8.44,7.56,6.28,7.83,5.61,7.0
