state_code,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Alabama,1978,6.89,10.17,17.56,25.56,27.56,31.83,33.39,32.33,31.44,25.33,22.39,15.11
Alabama,1983,11.17,13.56,17.33,21.33,26.94,29.22,33.33,33.89,28.78,24.5,18.89,11.11
Alabama,1988,10.33,14.5,19.67,24.33,28.28,32.89,31.72,32.89,28.72,22.0,20.22,15.17
Alabama,1993,14.44,14.33,17.22,22.0,26.83,31.72,34.33,32.72,29.94,23.78,17.89,13.17
Alabama,1998,14.28,15.39,18.17,23.0,30.17,33.5,33.22,32.89,31.22,26.67,20.89,16.0
Alabama,2003,10.83,14.83,20.17,24.33,27.61,29.72,31.0,31.67,29.22,24.39,21.61,13.5
Alabama,2008,12.17,16.78,20.61,23.89,27.83,32.56,33.11,31.28,29.33,23.5,18.06,15.72
Alabama,2013,15.5,14.94,16.83,23.5,26.44,30.94,30.06,30.61,30.06,24.61,17.39,14.56
Alabama,2018,11.0,20.06,19.67,22.67,30.06,32.11,32.56,32.0,31.78,25.67,15.94,14.44
Alabama,2023,16.89,19.67,21.83,24.17,27.5,31.0,33.11,34.22,30.72,25.5,,
Arizona,1978,11.83,13.0,18.11,21.33,26.72,34.22,35.56,33.56,29.78,26.17,15.61,9.28
Arizona,1983,12.78,13.67,15.44,18.22,26.83,31.67,34.22,32.33,31.11,23.33,16.44,12.83
Arizona,1988,11.22,16.11,18.83,22.0,27.61,33.33,35.06,32.33,29.83,27.22,17.67,12.22
Arizona,1993,11.56,12.56,18.67,23.5,28.33,32.78,34.0,32.72,30.89,23.83,15.83,13.06
Arizona,1998,13.61,11.33,16.83,19.44,25.89,31.39,35.28,34.61,30.78,23.94,18.28,13.28
Arizona,2003,17.22,13.83,17.83,21.44,29.22,33.89,37.17,34.06,32.0,28.0,16.22,13.5
Arizona,2008,10.78,14.44,19.44,23.5,26.33,34.67,34.33,33.67,31.17,26.06,19.61,12.22
Arizona,2013,10.94,13.11,21.06,23.78,28.39,35.89,34.33,33.06,29.78,23.33,17.78,12.28
Arizona,2018,16.61,15.78,19.11,26.06,29.44,35.28,35.67,34.28,32.72,21.78,17.61,12.61
Arizona,2023,10.89,12.72,15.11,23.78,27.89,31.67,38.33,34.61,31.39,26.67,,
Arkansas,1978,3.17,4.67,14.67,24.06,26.22,30.89,35.11,33.39,29.72,23.89,17.72,11.17
Arkansas,1983,8.22,11.78,16.06,18.17,24.83,29.5,33.06,35.22,30.17,24.06,16.39,3.17
Arkansas,1988,6.89,11.67,17.06,23.0,27.89,32.72,32.33,33.44,29.33,20.83,17.44,12.33
Arkansas,1993,9.0,11.06,15.22,19.22,25.22,30.11,34.72,33.5,28.17,21.33,13.67,11.44
Arkansas,1998,11.33,13.44,15.17,22.11,29.0,32.56,35.06,33.39,31.78,24.33,17.5,11.78
Arkansas,2003,8.5,9.28,17.11,23.56,26.56,28.28,32.33,33.0,27.44,24.0,18.17,11.56
Arkansas,2008,9.61,12.39,17.61,21.22,26.22,31.0,33.28,30.72,27.11,22.56,15.78,11.22
Arkansas,2013,10.89,11.83,14.17,21.28,25.33,30.83,31.72,31.56,31.06,22.11,14.44,9.72
Arkansas,2018,7.83,13.22,18.61,19.67,30.17,32.78,33.61,31.5,28.78,22.44,13.28,11.5
