Scientific_name,Count,City
Carya illinoinensis,916,Austin
Ulmus crassifolia,831,Austin
Quercus virginiana,790,Austin
Lagerstroemia indica,609,Austin
Quercus fusiformis,590,Austin
Carya illinoinensis,916,Austin1
Ulmus crassifolia,831,Austin1
Quercus virginiana,790,Austin1
Lagerstroemia indica,609,Austin1
Quercus fusiformis,590,Austin1
Carya illinoinensis,916,Austin2
Ulmus crassifolia,831,Austin2
Quercus virginiana,790,Austin2
Lagerstroemia indica,609,Austin2
Quercus fusiformis,590,Austin2
Carya illinoinensis,916,Austin3
Ulmus crassifolia,831,Austin3
Quercus virginiana,790,Austin3
Lagerstroemia indica,609,Austin3
Quercus fusiformis,590,Austin3
