state_code,year,month,temperature
Alabama,1978,Jan,2.0
Alabama,1983,Jan,5.61
Alabama,1988,Jan,4.83
Alabama,1993,Jan,9.33
Alabama,1998,Jan,8.78
Alabama,2003,Jan,4.44
Alabama,2008,Jan,6.11
Alabama,2013,Jan,10.0
Alabama,2018,Jan,4.67
Alabama,2023,Jan,10.83
Vermont,1978,Jan,-10.0
Vermont,1983,Jan,-7.56
Vermont,1988,Jan,-9.22
Vermont,1993,Jan,-6.89
Vermont,1998,Jan,-5.72
Vermont,2003,Jan,-12.5
Vermont,2008,Jan,-5.83
Vermont,2013,Jan,-7.44
Vermont,2018,Jan,-8.61
Vermont,2023,Jan,-2.56
Alabama,1978,Feb,3.78
Alabama,1983,Feb,8.11
Alabama,1988,Feb,7.44
Alabama,1993,Feb,7.89
Alabama,1998,Feb,9.56
Alabama,2003,Feb,8.89
Alabama,2008,Feb,9.56
Alabama,2013,Feb,8.89
Alabama,2018,Feb,14.44
Alabama,2023,Feb,13.56
Vermont,1978,Feb,-12.28
Vermont,1983,Feb,-6.28
Vermont,1988,Feb,-7.56
Vermont,1993,Feb,-12.67
Vermont,1998,Feb,-3.28
Vermont,2003,Feb,-9.89
Vermont,2008,Feb,-6.39
Vermont,2013,Feb,-5.83
Vermont,2018,Feb,-3.61
Vermont,2023,Feb,-5.0
Alabama,1978,Mar,10.67
Alabama,1983,Mar,11.11
Alabama,1988,Mar,12.39
Alabama,1993,Mar,10.94
Alabama,1998,Mar,11.89
Alabama,2003,Mar,14.22
Alabama,2008,Mar,12.89
Alabama,2013,Mar,9.89
Alabama,2018,Mar,13.0
Alabama,2023,Mar,14.83
Vermont,1978,Mar,-4.56
Vermont,1983,Mar,-0.72
Vermont,1988,Mar,-2.67
Vermont,1993,Mar,-3.78
Vermont,1998,Mar,-0.39
Vermont,2003,Mar,-2.33
Vermont,2008,Mar,-3.44
Vermont,2013,Mar,-1.39
Vermont,2018,Mar,-2.11
Vermont,2023,Mar,-1.0
Alabama,1978,Apr,17.72
Alabama,1983,Apr,14.33
Alabama,1988,Apr,17.11
Alabama,1993,Apr,14.83
Alabama,1998,Apr,16.44
Alabama,2003,Apr,17.39
Alabama,2008,Apr,17.11
Alabama,2013,Apr,16.78
Alabama,2018,Apr,15.28
Alabama,2023,Apr,17.33
Vermont,1978,Apr,2.61
Vermont,1983,Apr,4.56
Vermont,1988,Apr,5.11
Vermont,1993,Apr,5.44
Vermont,1998,Apr,6.22
Vermont,2003,Apr,3.39
Vermont,2008,Apr,7.11
Vermont,2013,Apr,4.89
Vermont,2018,Apr,2.28
Vermont,2023,Apr,7.17
Alabama,1978,May,21.11
Alabama,1983,May,20.33
Alabama,1988,May,20.17
Alabama,1993,May,20.44
Alabama,1998,May,23.11
Alabama,2003,May,22.0
Alabama,2008,May,21.28
Alabama,2013,May,20.11
Alabama,2018,May,23.56
Alabama,2023,May,21.33
Vermont,1978,May,12.94
Vermont,1983,May,10.17
Vermont,1988,May,12.72
Vermont,1993,May,11.61
Vermont,1998,May,14.5
Vermont,2003,May,11.06
Vermont,2008,May,10.0
Vermont,2013,May,12.83
Vermont,2018,May,13.61
Vermont,2023,May,10.89
